  429 384.180242246 Cisco_d0:24:7f → Broadcast    802.11 352  48 Beacon frame, SN=2205, FN=0, Flags=........, BI=204, SSID=eduroam
  430 385.433656998 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=2223, FN=0, Flags=........, BI=204, SSID=eduroam
  432 386.687242239 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=2244, FN=0, Flags=........, BI=204, SSID=eduroam
  441 388.533283988 Cisco_d2:20:90 → Broadcast    802.11 310  5 Beacon frame, SN=1899, FN=0, Flags=........, BI=204, SSID=eduroam
  450 389.320771949 Cisco_d0:14:6f → Broadcast    802.11 336  44 Beacon frame, SN=3235, FN=0, Flags=........, BI=204, SSID=eduroam
  455 390.018958607 Cisco_04:0f:9f → Broadcast    802.11 332  100 Beacon frame, SN=3807, FN=0, Flags=........, BI=204, SSID=eduroam
  482 392.744967673 Cisco_d0:24:7f → Broadcast    802.11 356  48 Beacon frame, SN=2334, FN=0, Flags=........, BI=204, SSID=eduroam
  483 401.518512948 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=2460, FN=0, Flags=........, BI=204, SSID=eduroam
  484 406.531957463 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=2539, FN=0, Flags=........, BI=204, SSID=eduroam
  485 407.785405203 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=2557, FN=0, Flags=........, BI=204, SSID=eduroam
  486 425.541596476 Cisco_d0:24:7f → Broadcast    802.11 348  48 Beacon frame, SN=2815, FN=0, Flags=........, BI=204, SSID=eduroam
  491 440.372997628 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=3030, FN=0, Flags=........, BI=204, SSID=eduroam
  494 445.177511787 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=3099, FN=0, Flags=........, BI=204, SSID=eduroam
  495 447.684252913 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=3137, FN=0, Flags=........, BI=204, SSID=eduroam
  500 461.053489254 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=3335, FN=0, Flags=........, BI=204, SSID=eduroam
  501 463.560400907 Cisco_d0:24:7f → Broadcast    802.11 352  48 Beacon frame, SN=3372, FN=0, Flags=........, BI=204, SSID=eduroam
  502 474.840787413 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=3540, FN=0, Flags=........, BI=204, SSID=eduroam
  507 486.538648708 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=3709, FN=0, Flags=........, BI=204, SSID=eduroam
  508 489.881045972 Cisco_d0:24:7f → Broadcast    802.11 348  48 Beacon frame, SN=3757, FN=0, Flags=........, BI=204, SSID=eduroam
  511 503.041350987 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=3945, FN=0, Flags=........, BI=204, SSID=eduroam
  520 508.537238115 Cisco_d0:24:72 → Broadcast    802.11 313  5 Beacon frame, SN=949, FN=0, Flags=........, BI=204, SSID=tudelft-dastud
  529 509.406684823 Cisco_d0:24:7e → Broadcast    802.11 312  48 Beacon frame, SN=4039, FN=0, Flags=........, BI=204, SSID=TUvisitor
  531 510.183858333 Cisco_04:0f:9d → Broadcast    802.11 347  100 Beacon frame, SN=1539, FN=0, Flags=........, BI=204, SSID=tudelft-dastud
  559 517.872825658 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=71, FN=0, Flags=........, BI=204, SSID=eduroam
  560 519.961893609 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=101, FN=0, Flags=........, BI=204, SSID=eduroam
  561 521.424279582 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=127, FN=0, Flags=........, BI=204, SSID=eduroam
  562 527.482086819 Cisco_d0:24:7f → Broadcast    802.11 348  48 Beacon frame, SN=216, FN=0, Flags=........, BI=204, SSID=eduroam
  580 542.522379983 Cisco_d0:24:7f → Broadcast    802.11 348  48 Beacon frame, SN=440, FN=0, Flags=........, BI=204, SSID=eduroam
  583 545.865215908 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=489, FN=0, Flags=........, BI=204, SSID=eduroam
  584 554.638424556 Cisco_d0:24:7f → Broadcast    802.11 336  48 Beacon frame, SN=620, FN=0, Flags=........, BI=204, SSID=eduroam
  591 562.158639526 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=732, FN=0, Flags=........, BI=204, SSID=eduroam
  592 563.412550114 Cisco_d0:24:7f → Broadcast    802.11 348  48 Beacon frame, SN=751, FN=0, Flags=........, BI=204, SSID=eduroam
  595 575.110133594 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=922, FN=0, Flags=........, BI=204, SSID=eduroam
  596 576.363562823 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=941, FN=0, Flags=........, BI=204, SSID=eduroam
  603 582.839231556 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=1034, FN=0, Flags=........, BI=204, SSID=eduroam
  604 585.346077944 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=1070, FN=0, Flags=........, BI=204, SSID=eduroam
  605 589.107773912 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=1124, FN=0, Flags=........, BI=204, SSID=eduroam
  606 592.866182087 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=1181, FN=0, Flags=........, BI=204, SSID=eduroam
  607 594.119471380 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=1198, FN=0, Flags=........, BI=204, SSID=eduroam
  608 595.373472789 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=1216, FN=0, Flags=........, BI=204, SSID=eduroam
  609 597.879567734 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=1252, FN=0, Flags=........, BI=204, SSID=eduroam
  612 604.147008892 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=1343, FN=0, Flags=........, BI=204, SSID=eduroam
  613 609.160090823 Cisco_d0:24:7f → Broadcast    802.11 344  48 Beacon frame, SN=1416, FN=0, Flags=........, BI=204, SSID=eduroam
  614 610.413347285 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=1434, FN=0, Flags=........, BI=204, SSID=eduroam
  615 612.920154845 Cisco_d0:24:7f → Broadcast    802.11 336  48 Beacon frame, SN=1471, FN=0, Flags=........, BI=204, SSID=eduroam
  616 619.187206028 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=1562, FN=0, Flags=........, BI=204, SSID=eduroam
  617 626.289443060 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=1664, FN=0, Flags=........, BI=204, SSID=eduroam
