  365 219.045570408 Netgear_13:e0:88 → Broadcast    802.11 319  6 Beacon frame, SN=585, FN=0, Flags=........, BI=100, SSID=Himanshu
  374 220.869455006 Tp-LinkT_73:b1:67 → Broadcast    802.11 307  1 Beacon frame, SN=1572, FN=0, Flags=........, BI=100, SSID=Yowifi
  383 221.057651632 Tp-LinkT_53:67:fc → Broadcast    802.11 276  8 Beacon frame, SN=2672, FN=0, Flags=........, BI=100, SSID=TP-LINK Delft
  385 221.066569684 Tp-LinkT_e6:8e:b2 → Broadcast    802.11 294  8 Beacon frame, SN=2188, FN=0, Flags=........, BI=100, SSID=Athreya
  389 221.141548348 Tp-LinkT_42:4b:de → Broadcast    802.11 318  11 Beacon frame, SN=2490, FN=0, Flags=........, BI=100, SSID=codroipo
  391 221.159287131 Apple_e9:5f:fa → Broadcast    802.11 267  11 Beacon frame, SN=3441, FN=0, Flags=........, BI=100, SSID=Hogwarts
  394 221.314467767 Tp-LinkT_73:b1:66 → Broadcast    802.11 370  36 Beacon frame, SN=3581, FN=0, Flags=........, BI=100, SSID=Yowifi-5G
  396 223.793232253 Intronic_97:d6:58 → Broadcast    802.11 317  6 Beacon frame, SN=231, FN=0, Flags=........, BI=100, SSID=Eminent
  397 223.797946662 Apple_0b:36:87 → Broadcast    802.11 265  6 Beacon frame, SN=284, FN=0, Flags=........, BI=100, SSID=ahoj brno!
  399 223.900435226 Apple_0b:36:87 → Broadcast    802.11 265  6 Beacon frame, SN=285, FN=0, Flags=........, BI=100, SSID=ahoj brno!
  404 224.526557404 Tp-LinkT_85:cd:27 → Broadcast    802.11 320  1 Beacon frame, SN=2473, FN=0, Flags=........, BI=100, SSID=BroadBrandt-2.4
  410 224.758714973 Tp-LinkT_e6:8e:b2 → Broadcast    802.11 294  9 Beacon frame, SN=2231, FN=0, Flags=........, BI=100, SSID=Athreya
