  430 645.354028762 Cisco_56:55:8f → Broadcast    802.11 347  104 Beacon frame, SN=1237, FN=0, Flags=........, BI=204, SSID=eduroam
  431 647.025060849 Cisco_56:55:8f → Broadcast    802.11 347  104 Beacon frame, SN=1261, FN=0, Flags=........, BI=204, SSID=eduroam
  432 647.651809430 Cisco_56:55:8f → Broadcast    802.11 347  104 Beacon frame, SN=1270, FN=0, Flags=........, BI=204, SSID=eduroam
  433 648.696273389 Cisco_56:55:8f → Broadcast    802.11 347  104 Beacon frame, SN=1285, FN=0, Flags=........, BI=204, SSID=eduroam
  434 649.322947852 Cisco_56:55:8f → Broadcast    802.11 347  104 Beacon frame, SN=1294, FN=0, Flags=........, BI=204, SSID=eduroam
  435 650.367411701 Cisco_56:55:8f → Broadcast    802.11 347  104 Beacon frame, SN=1309, FN=0, Flags=........, BI=204, SSID=eduroam
  437 655.171693830 Cisco_56:55:8f → Broadcast    802.11 347  104 Beacon frame, SN=1378, FN=0, Flags=........, BI=204, SSID=eduroam
  439 656.216205038 Cisco_56:55:8f → Broadcast    802.11 347  104 Beacon frame, SN=1393, FN=0, Flags=........, BI=204, SSID=eduroam
  440 659.140620789 Cisco_56:55:8f → Broadcast    802.11 347  104 Beacon frame, SN=1434, FN=0, Flags=........, BI=204, SSID=eduroam
  441 661.647372658 Cisco_56:55:8f → Broadcast    802.11 347  104 Beacon frame, SN=1470, FN=0, Flags=........, BI=204, SSID=eduroam
  453 665.200295912 Cisco_22:0f:0e → Broadcast    802.11 327  64 Beacon frame, SN=3293, FN=0, Flags=........, BI=204, SSID=TUvisitor
  458 665.229147998 Ubiquiti_64:2e:b8 → Broadcast    802.11 411  140 Beacon frame, SN=2871, FN=0, Flags=........, BI=100, SSID=il-ono.tudelft.wleiden.net
  467 665.535986567 Cisco_22:eb:4e → Broadcast    802.11 327  56 Beacon frame, SN=2106, FN=0, Flags=........, BI=204, SSID=TUvisitor
  481 665.692888103 Cisco_bd:03:1f → Broadcast    802.11 347  56 Beacon frame, SN=3694, FN=0, Flags=........, BI=204, SSID=eduroam
  482 665.695552190 Cisco_22:eb:4d → Broadcast    802.11 354  56 Beacon frame, SN=2110, FN=0, Flags=........, BI=204, SSID=tudelft-dastud
  483 665.742000480 Cisco_bd:03:1d → Broadcast    802.11 354  56 Beacon frame, SN=3695, FN=0, Flags=........, BI=204, SSID=tudelft-dastud
  484 665.744605110 Cisco_22:eb:4e → Broadcast    802.11 327  56 Beacon frame, SN=2111, FN=0, Flags=........, BI=204, SSID=TUvisitor
  485 665.791212953 Cisco_bd:03:1e → Broadcast    802.11 327  56 Beacon frame, SN=3696, FN=0, Flags=........, BI=204, SSID=TUvisitor
  486 665.855348052 Cisco_22:eb:4f → Broadcast    802.11 347  56 Beacon frame, SN=2112, FN=0, Flags=........, BI=204, SSID=eduroam
  487 666.064634958 Cisco_22:eb:4f → Broadcast    802.11 347  56 Beacon frame, SN=2115, FN=0, Flags=........, BI=204, SSID=eduroam
  496 672.605337740 Cisco_22:e9:ef → Broadcast    802.11 347  52 Beacon frame, SN=1688, FN=0, Flags=........, BI=204, SSID=eduroam
  508 673.161310247 Cisco_98:0e:7d → Broadcast    802.11 354  140 Beacon frame, SN=3856, FN=0, Flags=........, BI=204, SSID=tudelft-dastud
  509 673.216108152 Ubiquiti_64:2e:b8 → Broadcast    802.11 411  140 Beacon frame, SN=2949, FN=0, Flags=........, BI=100, SSID=il-ono.tudelft.wleiden.net
  511 673.318547585 Ubiquiti_64:2e:b8 → Broadcast    802.11 411  140 Beacon frame, SN=2950, FN=0, Flags=........, BI=100, SSID=il-ono.tudelft.wleiden.net
  513 673.421002364 Ubiquiti_64:2e:b8 → Broadcast    802.11 411  140 Beacon frame, SN=2951, FN=0, Flags=........, BI=100, SSID=il-ono.tudelft.wleiden.net
  526 674.898407642 Cisco_c9:e3:1d → Broadcast    802.11 354  136 Beacon frame, SN=2280, FN=0, Flags=........, BI=204, SSID=tudelft-dastud
