Apple_50:0b:02 SSID=Broadcast
Apple_56:1d:9f SSID=eduroam
Apple_58:65:61 SSID=Broadcast
Apple_58:65:61 SSID=eduroam
Apple_58:65:61 SSID=Ziggo4C78D35
Apple_58:d6:82 SSID=Broadcast
Apple_58:d6:82 SSID=eduroam
Apple_5c:df:73 SSID=eduroam
Apple_5d:b1:0e SSID=eduroam
Apple_5e:cc:fa SSID=Broadcast
Apple_69:16:9a SSID=Broadcast
Apple_69:16:9a SSID=eduroam
Apple_6e:8f:c6 SSID=Broadcast
Apple_6e:8f:c6 SSID=eduroam
Apple_6f:f6:ce SSID=eduroam
Apple_79:c0:16 SSID=eduroam
Apple_7a:0d:f3 SSID=Broadcast
Apple_82:72:69 SSID=eduroam
Apple_84:2b:ee SSID=Broadcast
Apple_84:2b:ee SSID=eduroam
Apple_85:c7:30 SSID=eduroam
Apple_8a:96:3d SSID=Broadcast
Apple_8a:96:3d SSID=eduroam
Apple_95:54:d2 SSID=Broadcast
Apple_95:54:d2 SSID=eduroam
Apple_95:54:d2 SSID=MaximaalNetflixEnChill
Apple_95:54:d2 SSID=Wi-Fi
Apple_96:5c:8e SSID=Broadcast
Apple_9a:3a:02 SSID=Broadcast
Apple_9b:28:0b SSID=Broadcast
Apple_a3:a5:27 SSID=eduroam
Apple_a5:0b:36 SSID=eduroam
Apple_a7:c6:4e SSID=Broadcast
Apple_a7:c6:4e SSID=eduroam
Apple_a8:90:ee SSID=eduroam
Apple_ab:e2:7e SSID=eduroam
Apple_b6:07:87 SSID=Broadcast
Apple_c0:73:6c SSID=eduroam
Apple_c5:bc:11 SSID=eduroam
Apple_c6:da:3c SSID=Broadcast
Apple_c6:da:3c SSID=eduroam
Apple_c8:79:d7 SSID=eduroam
Apple_cc:08:ab SSID=Broadcast
Apple_d0:09:b4 SSID=eduroam
Apple_d2:12:db SSID=Broadcast
Apple_d2:12:db SSID=eduroam
Apple_d6:66:8f SSID=eduroam
Apple_d6:e3:9a SSID=Broadcast
Apple_d6:e3:9a SSID=eduroam
Apple_d9:77:f8 SSID=eduroam
Apple_da:a0:6b SSID=eduroam
Apple_dc:0b:c8 SSID=eduroam
Apple_dd:a1:65 SSID=eduroam
Apple_de:dc:c9 SSID=eduroam
Apple_e0:b4:6a SSID=eduroam
Apple_e3:4d:a3 SSID=Broadcast
Apple_e3:8c:00 SSID=eduroam
Apple_e4:22:e7 SSID=eduroam
Apple_e6:9b:96 SSID=Broadcast
Apple_eb:92:7d SSID=Broadcast
Apple_f0:8e:2f SSID=Broadcast
Azurewav_21:04:5b SSID=eduroam
Azurewav_33:e2:bd SSID=eduroam
Azurewav_ac:81:97 SSID=Broadcast
Azurewav_fa:ef:cd SSID=Broadcast
b6:0a:7b:8b:83:87 SSID=Broadcast
b6:3c:00:83:e3:ac SSID=Broadcast
b6:88:08:e8:b4:bc SSID=Broadcast
b6:88:08:e8:b4:bc SSID=Ziggo0B609
b6:8c:ef:4f:d3:20 SSID=Broadcast
b6:8c:ef:4f:d3:20 SSID=Ziggo0B609
b6:d2:4d:f4:17:63 SSID=Broadcast
ba:c0:c0:55:e9:66 SSID=Broadcast
be:39:a1:fe:e3:b0 SSID=Broadcast
be:96:cd:80:66:44 SSID=Broadcast
be:bc:b0:1f:04:95 SSID=Broadcast
BeijingS_17:94:4c SSID=Broadcast
BeijingS_17:94:4c SSID=eduroam
Blackber_8f:ff:38 SSID=eduroam
c2:19:05:19:d8:72 SSID=Broadcast
c2:50:f0:bc:00:a3 SSID=Broadcast
c2:a4:e8:79:9b:b2 SSID=Broadcast
c2:d4:fd:47:2c:48 SSID=Broadcast
c2:e6:b0:16:a7:dd SSID=Broadcast
c6:52:e0:c1:c9:3f SSID=Broadcast
c6:53:7b:32:46:a0 SSID=Broadcast
c6:55:53:65:d8:96 SSID=Broadcast
c6:af:ce:07:ae:7d SSID=Broadcast
c6:b2:91:1c:c6:02 SSID=Broadcast
c6:da:76:e2:e0:8e SSID=Ziggo0B609
c6:dd:33:54:20:85 SSID=Broadcast
ca:43:39:64:f7:07 SSID=Broadcast
ce:1f:d8:f6:c4:7d SSID=Broadcast
ce:55:4e:49:01:87 SSID=Broadcast
ce:ee:1c:6c:c9:ba SSID=Broadcast
Cybertan_64:a4:57 SSID=Broadcast
d2:15:28:c3:50:bc SSID=Broadcast
d2:8e:f7:3d:0d:9f SSID=Broadcast
d2:ef:71:50:f9:6e SSID=Broadcast
d6:1f:0f:b1:e0:e1 SSID=Broadcast
da:45:4c:93:1a:27 SSID=Broadcast
da:45:4c:93:1a:27 SSID=Ziggo0B609
da:c6:ac:dd:7a:0a SSID=Broadcast
de:26:3e:11:7e:55 SSID=Broadcast
de:72:57:bb:59:a5 SSID=Broadcast
de:d1:b4:fc:a8:57 SSID=Broadcast
de:e1:92:df:5e:4d SSID=Broadcast
de:e4:8e:d6:9e:b2 SSID=Broadcast
de:e5:a8:8d:82:d6 SSID=Broadcast
e2:a6:a5:9e:ad:c7 SSID=Broadcast
e2:c1:d9:18:2d:e0 SSID=Broadcast
e6:8b:bb:61:ec:83 SSID=Broadcast
ea:1d:c5:f9:5f:74 SSID=Broadcast
ea:2e:ff:31:e8:6b SSID=Broadcast
ea:4a:1f:c0:66:f8 SSID=Broadcast
ea:62:eb:5e:07:f6 SSID=JAZZTEL_08_PA1
ea:f0:c0:8d:11:41 SSID=Broadcast
ee:42:2c:2f:72:00 SSID=Broadcast
ee:42:2c:2f:72:00 SSID=Ziggo0B609
ee:f4:60:02:6c:49 SSID=Broadcast
f2:29:25:d9:7a:e8 SSID=Broadcast
f6:98:85:ad:2b:f2 SSID=Broadcast
f6:a3:f5:c9:0f:89 SSID=Broadcast
f6:c1:e2:26:c5:ec SSID=Broadcast
f6:e3:00:3e:99:76 SSID=Broadcast
